property_id,property_name,unit_type,avg_sqft,number_of_bedrooms,number_of_bathrooms,avg_advertised_rate,avg_scheduled_rent,total_schedule_rent,total_units,excluded_units,rentable_units,occupied_count,available_count,year_over_year_variance,started_new_count_prior,started_new_count,started_renewal_count_prior,started_renewal_count,started_count_prior,started_count,started_percent,partially_completed_new_count_prior,partially_completed_new_count,partially_completed_renewal_count_prior,partially_completed_renewal_count,partially_completed_count_prior,partially_completed_count,partially_completed_percent,completed_new_count_prior,completed_new_count,completed_renewal_count_prior,completed_renewal_count,completed_count_prior,completed_count,completed_percent,approved_new_count_prior,approved_new_count,approved_renewal_count_prior,approved_renewal_count,approved_count_prior,approved_count,approved_percent,preleased_new_count_prior,preleased_new_count,preleased_renewal_count_prior,preleased_renewal_count,preleased_count_prior,preleased_count,preleased_percent_prior,preleased_percent
833617,The Dean Campustown,B1,184,2,1,1356.25,1351.7857142857142,37850,28,0,28,28,0,0.0714285714285714,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,12,22,10,6,22,28,1,16,22,10,6,26,28,0.9285714285714286,1
833617,The Dean Campustown,B2,222,2,2,1486.111111111111,1453.7037037037037,39250,28,0,28,28,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.03571428571428571,0,0,0,0,0,0,0,15,17,12,9,27,26,0.9285714285714286,15,18,12,9,27,27,0.9642857142857143,0.9642857142857143
833617,The Dean Campustown,B3 XL,66,2,2,1666.6666666666667,822.3958333333334,39475,56,0,56,56,8,0.1428571428571428,0,0,0,2,0,2,0.03571428571428571,0,0,0,0,0,0,0,2,2,0,0,2,2,0.03571428571428571,26,20,12,24,38,44,0.7857142857142857,28,22,12,26,40,48,0.7142857142857143,0.8571428571428571
833617,The Dean Campustown,B4 XL,73,2,2,1315.8333333333333,873.2291666666666,41915,56,0,56,56,8,0.0357142857142857,0,0,0,2,0,2,0.03571428571428571,0,0,0,2,0,2,0.03571428571428571,0,0,0,0,0,0,0,14,6,32,38,46,44,0.7857142857142857,14,6,32,42,46,48,0.8214285714285714,0.8571428571428571
833617,The Dean Campustown,D1,70,4,2,1146.341463414634,1059.1463414634147,43425,56,0,56,48,15,0.08928571428571419,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,2,0,0,20,23,13,18,33,41,0.7321428571428571,23,23,13,18,36,41,0.6428571428571429,0.7321428571428571
833617,The Dean Campustown,D2,71,4,2,1164.8148148148148,1088.888888888889,29400,56,0,56,55,29,-0.12499999999999994,0,1,0,1,0,2,0.03571428571428571,0,0,0,0,0,0,0,1,0,0,0,1,0,0,26,17,7,8,33,25,0.44642857142857145,27,18,7,9,34,27,0.6071428571428571,0.48214285714285715
833617,The Dean Campustown,D3,81,4,4,1196.875,1142.7083333333333,27425,56,0,56,53,32,-0.035714285714285754,2,0,0,1,2,1,0.017857142857142856,4,1,0,0,4,1,0.017857142857142856,1,0,0,0,1,0,0,2,13,17,9,19,22,0.39285714285714285,9,14,17,10,26,24,0.4642857142857143,0.42857142857142855
833617,The Dean Campustown,D4,81,4,4,1161.607142857143,1189.2857142857142,33300,56,0,56,56,28,-0.0892857142857143,0,0,0,0,0,0,0,2,2,0,0,2,2,0.03571428571428571,0,0,0,0,0,0,0,16,19,15,7,31,26,0.4642857142857143,18,21,15,7,33,28,0.5892857142857143,0.5
833617,The Dean Campustown,D5,84,4,4,1200.7142857142858,1222.857142857143,42800,56,0,56,56,21,-0.0892857142857143,0,0,0,0,0,0,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,16,23,20,12,36,35,0.625,19,23,21,12,40,35,0.7142857142857143,0.625
833617,The Dean Campustown,M1,374.6666666666667,NA,1,1761.860465116279,1691.9767441860465,72755,84,0,84,82,41,0.13095238095238093,0,0,0,2,0,2,0.023809523809523808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,23,27,32,41,0.4880952380952381,9,14,23,29,32,43,0.38095238095238093,0.5119047619047619
833617,The Dean Campustown,Not Selected,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
833617,The Dean Campustown,S1,456,NA,1,1741.3793103448277,1959.4827586206898,56825,42,0,42,41,13,-0.04761904761904767,0,0,0,1,0,1,0.023809523809523808,0,0,1,0,1,0,0,1,0,0,0,1,0,0,10,8,19,20,29,28,0.6666666666666666,11,8,20,21,31,29,0.7380952380952381,0.6904761904761905
833617,The Dean Campustown,S2,466,NA,1,1763.6666666666667,2061.3333333333335,30920,28,0,28,28,13,0.0714285714285714,0,0,0,2,0,2,0.07142857142857142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,13,13,13,0.4642857142857143,6,0,7,15,13,15,0.4642857142857143,0.5357142857142857
833617,The Dean Campustown,S3 XL,154,1,1,1730,1113.75,17820,28,0,28,28,12,0.0714285714285714,0,2,0,0,0,2,0.07142857142857142,0,0,2,0,2,0,0,0,0,2,0,2,0,0,4,2,6,12,10,14,0.5,4,4,10,12,14,16,0.5,0.5714285714285714
1197887,The Dean Reno,A1,575,1,1,2320,2377.5,4755,1,0,1,1,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,2,0,0,1,2,1,2
1197887,The Dean Reno,B1,375,2,2,1926.6842105263158,1253.8947368421052,47648,36,0,36,35,-2,0.7222222222222223,1,1,0,1,1,2,0.05555555555555555,0,1,0,0,0,1,0.027777777777777776,3,0,0,0,3,0,0,3,16,5,19,8,35,0.9722222222222222,7,18,5,20,12,38,0.3333333333333333,1.0555555555555556
1197887,The Dean Reno,B2,430,2,2,1150.1666666666667,1364.8666666666666,40946,34,0,34,33,4,0.2647058823529411,0,1,1,1,1,2,0.058823529411764705,0,0,0,0,0,0,0,2,0,0,0,2,0,0,8,10,10,18,18,28,0.8235294117647058,10,11,11,19,21,30,0.6176470588235294,0.8823529411764706
1197887,The Dean Reno,C1,366,3,3,1365,1480,2960,3,0,3,2,1,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0.6666666666666666,0,0,1,2,1,2,0.3333333333333333,0.6666666666666666
1197887,The Dean Reno,D1,313,4,4,886.5254237288135,959.1355932203389,113178,180,0,180,156,62,0.4222222222222222,10,14,3,3,13,17,0.09444444444444444,6,15,0,0,6,15,0.08333333333333333,4,3,1,0,5,3,0.016666666666666666,9,51,9,32,18,83,0.46111111111111114,29,83,13,35,42,118,0.23333333333333334,0.6555555555555556
1197887,The Dean Reno,D2,312,4,4,959.3877551020408,1004.2857142857143,49210,140,0,140,115,91,0.1714285714285714,1,3,1,2,2,5,0.03571428571428571,2,2,0,0,2,2,0.014285714285714285,8,0,0,1,8,1,0.007142857142857143,8,7,5,34,13,41,0.29285714285714287,19,12,6,37,25,49,0.17857142857142858,0.35
1197887,The Dean Reno,D3,314,4,4,890.2631578947369,981.3157894736842,18645,64,0,64,47,45,0.078125,0,2,1,0,1,2,0.03125,3,2,0,0,3,2,0.03125,1,0,0,0,1,0,0,3,7,6,8,9,15,0.234375,7,11,7,8,14,19,0.21875,0.296875
1197887,The Dean Reno,D4,283,4,4,852.0833333333334,983.5416666666666,23605,45,0,45,26,21,0.4222222222222222,0,1,0,2,0,3,0.06666666666666667,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,2,0,19,4,21,0.4666666666666667,5,3,0,21,5,24,0.1111111111111111,0.5333333333333333
1197887,The Dean Reno,D5,285,4,3,871.3888888888889,911.9444444444445,16415,36,0,36,31,18,0.19444444444444442,0,2,0,0,0,2,0.05555555555555555,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,11,9,5,9,16,0.4444444444444444,2,13,9,5,11,18,0.3055555555555556,0.5
1197887,The Dean Reno,E1,277,5,3,891.1666666666666,904.6666666666666,27140,90,0,90,74,60,0.055555555555555525,1,0,1,3,2,3,0.03333333333333333,1,0,0,0,1,0,0,3,0,0,0,3,0,0,10,10,9,17,19,27,0.3,15,10,10,20,25,30,0.2777777777777778,0.3333333333333333
1197887,The Dean Reno,E1 Alt,277,5,3,780.9090909090909,948.6363636363636,10435,45,0,45,32,34,0.08888888888888888,0,0,0,1,0,1,0.022222222222222223,0,0,0,0,0,0,0,4,0,0,0,4,0,0,3,1,0,9,3,10,0.2222222222222222,7,1,0,10,7,11,0.15555555555555556,0.24444444444444444
1197887,The Dean Reno,E2,252,5,3,877.7083333333334,853.5416666666666,20485,54,0,54,43,30,-0.14814814814814814,1,2,0,0,1,2,0.037037037037037035,2,3,0,0,2,3,0.05555555555555555,2,0,0,0,2,0,0,14,9,13,10,27,19,0.35185185185185186,19,14,13,10,32,24,0.5925925925925926,0.4444444444444444
1197887,The Dean Reno,E3,274,5,3,835,931.4285714285714,13040,45,0,45,41,31,0.13333333333333333,1,0,1,2,2,2,0.044444444444444446,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,10,3,2,5,12,0.26666666666666666,4,10,4,4,8,14,0.17777777777777778,0.3111111111111111
1197887,The Dean Reno,Not Selected,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518046,The Rise at Northgate,A1,558.1111111111111,1,1,1894.3333333333333,1960,58800,36,0,36,36,6,-0.05555555555555547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0.027777777777777776,5,4,26,25,31,29,0.8055555555555556,6,4,26,26,32,30,0.8888888888888888,0.8333333333333334
518046,The Rise at Northgate,A2,543,1,1,1815,1910,3820,4,0,4,4,2,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,4,2,0.5,3,0,1,2,4,2,1,0.5
518046,The Rise at Northgate,A3,800,1,1,2500,2600,2600,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
518046,The Rise at Northgate,B1,435.14285714285717,2,2,1181.547619047619,1322.142857142857,55530,42,0,42,42,0,0.09523809523809523,0,0,0,0,0,0,0,1,1,0,0,1,1,0.023809523809523808,0,0,0,0,0,0,0,10,21,27,20,37,41,0.9761904761904762,11,22,27,20,38,42,0.9047619047619048,1
518046,The Rise at Northgate,B2,500,2,2,1470,1542.5,6170,4,0,4,4,0,0.25,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,1,1,0,2,4,3,4,0.75,1
518046,The Rise at Northgate,B3,591,2,2,1440,1567.5,3135,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,0,2,2,2,2,1,1
518046,The Rise at Northgate,C1,400,3,4,1215,1322.5,2645,3,0,3,3,1,-0.33333333333333337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,0.6666666666666666,0,0,3,2,3,2,1,0.6666666666666666
518046,The Rise at Northgate,D1,345.14285714285717,4,4,1095,1104.97311827957,205525,252,0,252,252,66,-0.11111111111111105,4,3,0,0,4,3,0.011904761904761904,14,2,2,0,16,2,0.007936507936507936,0,8,0,0,0,8,0.031746031746031744,67,65,127,108,194,173,0.6865079365079365,85,78,129,108,214,186,0.8492063492063492,0.7380952380952381
518046,The Rise at Northgate,D2,428,4,4,1100,1177.5,4710,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,4,4,1,2,1,2,3,4,4,1,1
518046,The Rise at Northgate,D3,347,4,4,1095.909090909091,1123.3333333333333,37070,40,0,40,40,7,0,0,0,0,0,0,0,0,3,1,1,0,4,1,0.025,2,2,0,0,2,2,0.05,7,17,20,13,27,30,0.75,12,20,21,13,33,33,0.825,0.825
518046,The Rise at Northgate,E1,300,5,5,986.6666666666666,1032.3333333333333,15485,15,0,15,15,0,0.06666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,12,14,15,1,5,3,9,12,14,15,0.9333333333333333,1
